Command,EntryType,Symbol,Exchange,SecurityID
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",ALLL3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",AMBV4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",BBAS3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",BBDC4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",BISA3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",BRAP4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",BRFS3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",BRKM5,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",BRML3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",BRTO4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",BTOW3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",BVMF3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",CCRO3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",CESP6,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",CIEL3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",CMIG4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",CPFE3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",CPLE6,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",CRUZ3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",CSAN3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",CSNA3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",CYRE3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",DTEX3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",ELET3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",ELET6,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",ELPL4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",EMBR3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",FIBR3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",GFSA3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",GGBR4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",GOAU4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",GOLL4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",HGTX3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",HYPE3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",ITSA4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",ITUB4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",JBSS3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",KLBN4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",LAME4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",LIGT3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",LLXL3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",LREN3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",MMXM3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",MRFG3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",MRVE3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",NATU3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",OGXP3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",PCAR4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",PDGR3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",PETR3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",PETR4,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",RDCD3,BOVESPA,null
SUBSCRIBE,"[TOP OF BOOK BID,TOP OF BOOK OFFER]",RSID3,BOVESPA,null
