Command,EntryType,Symbol,Exchange,SecurityID
SUBSCRIBE,[TRADE],ALLL3,BOVESPA,null
SUBSCRIBE,[TRADE],AMBV4,BOVESPA,null
SUBSCRIBE,[TRADE],BBAS3,BOVESPA,null
SUBSCRIBE,[TRADE],BBDC4,BOVESPA,null
SUBSCRIBE,[TRADE],BISA3,BOVESPA,null
SUBSCRIBE,[TRADE],BRAP4,BOVESPA,null
SUBSCRIBE,[TRADE],BRFS3,BOVESPA,null
SUBSCRIBE,[TRADE],BRKM5,BOVESPA,null
SUBSCRIBE,[TRADE],BRML3,BOVESPA,null
SUBSCRIBE,[TRADE],BRTO4,BOVESPA,null
SUBSCRIBE,[TRADE],BTOW3,BOVESPA,null
SUBSCRIBE,[TRADE],BVMF3,BOVESPA,null
SUBSCRIBE,[TRADE],CCRO3,BOVESPA,null
SUBSCRIBE,[TRADE],CESP6,BOVESPA,null
SUBSCRIBE,[TRADE],CIEL3,BOVESPA,null
SUBSCRIBE,[TRADE],CMIG4,BOVESPA,null
SUBSCRIBE,[TRADE],CPFE3,BOVESPA,null
SUBSCRIBE,[TRADE],CPLE6,BOVESPA,null
SUBSCRIBE,[TRADE],CRUZ3,BOVESPA,null
SUBSCRIBE,[TRADE],CSAN3,BOVESPA,null
SUBSCRIBE,[TRADE],CSNA3,BOVESPA,null
SUBSCRIBE,[TRADE],CYRE3,BOVESPA,null
SUBSCRIBE,[TRADE],DTEX3,BOVESPA,null
SUBSCRIBE,[TRADE],ELET3,BOVESPA,null
SUBSCRIBE,[TRADE],ELET6,BOVESPA,null
SUBSCRIBE,[TRADE],ELPL4,BOVESPA,null
SUBSCRIBE,[TRADE],EMBR3,BOVESPA,null
SUBSCRIBE,[TRADE],FIBR3,BOVESPA,null
SUBSCRIBE,[TRADE],GFSA3,BOVESPA,null
SUBSCRIBE,[TRADE],GGBR4,BOVESPA,null
SUBSCRIBE,[TRADE],GOAU4,BOVESPA,null
SUBSCRIBE,[TRADE],GOLL4,BOVESPA,null
SUBSCRIBE,[TRADE],HGTX3,BOVESPA,null
SUBSCRIBE,[TRADE],HYPE3,BOVESPA,null
SUBSCRIBE,[TRADE],ITSA4,BOVESPA,null
SUBSCRIBE,[TRADE],ITUB4,BOVESPA,null
SUBSCRIBE,[TRADE],JBSS3,BOVESPA,null
SUBSCRIBE,[TRADE],KLBN4,BOVESPA,null
SUBSCRIBE,[TRADE],LAME4,BOVESPA,null
SUBSCRIBE,[TRADE],LIGT3,BOVESPA,null
SUBSCRIBE,[TRADE],LLXL3,BOVESPA,null
SUBSCRIBE,[TRADE],LREN3,BOVESPA,null
SUBSCRIBE,[TRADE],MMXM3,BOVESPA,null
SUBSCRIBE,[TRADE],MRFG3,BOVESPA,null
SUBSCRIBE,[TRADE],MRVE3,BOVESPA,null
SUBSCRIBE,[TRADE],NATU3,BOVESPA,null
SUBSCRIBE,[TRADE],OGXP3,BOVESPA,null
SUBSCRIBE,[TRADE],PCAR4,BOVESPA,null
SUBSCRIBE,[TRADE],PDGR3,BOVESPA,null
SUBSCRIBE,[TRADE],PETR3,BOVESPA,null
SUBSCRIBE,[TRADE],PETR4,BOVESPA,null
SUBSCRIBE,[TRADE],RDCD3,BOVESPA,null
SUBSCRIBE,[TRADE],RSID3,BOVESPA,null
SUBSCRIBE,[TRADE],SANB11,BOVESPA,null
SUBSCRIBE,[TRADE],SBSP3,BOVESPA,null
SUBSCRIBE,[TRADE],TAMM4,BOVESPA,null
SUBSCRIBE,[TRADE],TIMP3,BOVESPA,null
SUBSCRIBE,[TRADE],TMAR5,BOVESPA,null
SUBSCRIBE,[TRADE],TNLP3,BOVESPA,null
SUBSCRIBE,[TRADE],TNLP4,BOVESPA,null
SUBSCRIBE,[TRADE],TRPL4,BOVESPA,null
SUBSCRIBE,[TRADE],UGPA3,BOVESPA,null
SUBSCRIBE,[TRADE],USIM3,BOVESPA,null
SUBSCRIBE,[TRADE],USIM5,BOVESPA,null
SUBSCRIBE,[TRADE],VAGR3,BOVESPA,null
SUBSCRIBE,[TRADE],VALE3,BOVESPA,null
SUBSCRIBE,[TRADE],VALE5,BOVESPA,null
SUBSCRIBE,[TRADE],VIVT4,BOVESPA,null
