NoMDEntryTypes,SubscriptionRequestType,MDReqID,MarketDepth,MDUpdateType,NoRelatedSym,BeginString,BodyLength,MsgType,MsgSeqNum,SenderCompID,PossDupFlag,TargetCompID,OnBehalfOfCompID,DeliverToCompID,SendingTime,CheckSum
[2],1,MDREQ-12012-07-12 18:20:55.972-0300-2,0,1,"[""PETR4,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-12 21:20:55.972-0300,null
[2],1,MDREQ-12012-07-12 18:32:38.270-0300-2,0,1,"[""BRKM5,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-12 21:32:38.270-0300,null
[2],1,MDREQ-22012-07-12 18:32:38.426-0300-2,0,1,"[""CSAN3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-12 21:32:38.426-0300,null
[2],1,MDREQ-32012-07-12 18:32:38.426-0300-2,0,1,"[""UGPA3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-12 21:32:38.426-0300,null
[2],1,MDREQ-42012-07-12 18:32:38.426-0300-2,0,1,"[""AMBV4,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-12 21:32:38.442-0300,null
[2],1,MDREQ-52012-07-12 18:32:38.442-0300-2,0,1,"[""CRUZ3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-12 21:32:38.442-0300,null
[2],1,MDREQ-62012-07-12 18:32:38.442-0300-2,0,1,"[""HGTX3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-12 21:32:38.442-0300,null
[2],1,MDREQ-72012-07-12 18:32:38.442-0300-2,0,1,"[""LAME4,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-12 21:32:38.442-0300,null
[2],1,MDREQ-82012-07-12 18:32:38.442-0300-2,0,1,"[""LREN3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-12 21:32:38.442-0300,null
[2],1,MDREQ-92012-07-12 18:32:38.442-0300-2,0,1,"[""NATU3,null,8,BVMF,null,null,null""]",Placeholder,null,V,null,Placeholder,null,Placeholder,null,null,2012-07-12 21:32:38.442-0300,null
