Command,Symbol,BuySell,Size,Price,Account,OrderType,TimeInForce,DateExpiration,ExecBroker,StopPrice,MinQty,MaxFloor,Memo,ErrorInfo,AppOrderID,AppCxlRplID
NEW,PETR4,BUY,1000.0,23.54,0001234,LIMIT,DAY,null,null,null,null,null,null,null,001,null
CANCEL,PETR4,BUY,1000.0,23.54,0001234,LIMIT,DAY,null,null,null,null,null,null,null,002,001
NEW,PETR4,SELL,300.0,32.45,012345,LIMIT,null,null,null,null,null,null,null,null,001,null
NEW,PETR4,SELL,300.0,32.45,012345,LIMIT,DAY,null,null,null,null,null,null,null,010,null
NEW,PETR4,SELL,300.0,32.45,012345,LIMIT,DAY,null,null,null,null,null,null,null,011,null
NEW,PETR4,SELL,300.0,32.45,012345,LIMIT,DAY,null,null,null,null,null,null,null,012,null
NEW,PETR3,SELL,3200.0,21.32,0001234,LIMIT,null,null,null,null,null,null,null,null,001,null
NEW,PETR3,SELL,3200.0,21.32,0001234,LIMIT,null,null,null,null,null,null,null,null,002,null
NEW,PETR3,SELL,3200.0,21.32,0001234,LIMIT,null,null,null,null,null,null,null,null,003,null
NEW,PETR3,SELL,3200.0,21.32,0001234,LIMIT,null,null,null,null,null,null,null,null,004,null
NEW,PETR3,SELL,3200.0,21.32,0001234,LIMIT,null,null,null,null,null,null,null,null,005,null
NEW,PETR4,BUY,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00001,null
NEW,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00002,null
CANCEL,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00003,00002
NEW,PETR3,BUY,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00004,null
NEW,PDGR3,SELL,300.0,32.12,012346,LIMIT,null,null,null,null,null,null,null,null,00005,null
REPLACE,PDGR3,SELL,500.0,32.12,012347,LIMIT,null,null,null,null,null,null,null,null,00006,00005
REPLACE,PDGR3,SELL,500.0,32.15,012348,LIMIT,null,null,null,null,null,null,null,null,00007,00006
NEW,RSID3,BUY,100.0,12.33,012349,LIMIT,null,null,null,null,null,null,null,null,00008,null
NEW,RSID3,SELL,4500.0,12.4,012350,LIMIT,null,null,null,null,null,null,null,null,00009,null
NEW,BBDC4,BUY,1100.0,23.45,012351,LIMIT,null,null,null,null,null,null,null,null,00010,null
NEW,PETR4,BUY,1000.0,25.0,012345,LIMIT,null,null,null,null,null,null,null,null,00001,null
NEW,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00002,null
CANCEL,VALE5,SELL,500.0,34.23,ABCDE,LIMIT,null,null,null,null,null,null,null,null,00003,00002
NEW,PETR3,BUY,100.0,21.34,012345,LIMIT,null,null,null,null,null,null,null,null,00004,null
