MsgType;Account;ClOrdID;HandlInst;OrderID;OrderQty;OrdType;OrigClOrdID;Price;Side;Symbol;TimeInForce;TransactTime;ExecBroker;StopPx;MinQty;MaxFloor;ExpireDate;Memo;BeginString;BodyLength;MsgSeqNum;SenderCompID;SenderSubID;TargetCompID;TargetSubID;SendingTime;CheckSum
D;0001234;001;1;null;1000.0;2;null;23.54;1;PETR4;0;2012-04-13 15:50:38.632-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 15:50:38.670-0300;null
F;0001234;002;1;null;1000.0;2;001;23.54;1;PETR4;0;2012-04-13 15:51:25.145-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 15:51:25.145-0300;null
D;012345;001;1;null;300.0;2;null;32.45;2;PETR4;0;2012-04-13 15:55:57.259-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 15:55:57.261-0300;null
D;012345;010;1;null;300.0;2;null;32.45;2;PETR4;0;2012-04-13 15:56:37.185-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 15:56:37.185-0300;null
D;012345;011;1;null;300.0;2;null;32.45;2;PETR4;0;2012-04-13 15:56:47.432-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 15:56:47.432-0300;null
D;012345;012;1;null;300.0;2;null;32.45;2;PETR4;0;2012-04-13 15:56:51.471-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 15:56:51.472-0300;null
D;0001234;001;1;null;3200.0;2;null;21.32;2;PETR3;0;2012-04-13 16:05:16.508-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 16:05:16.510-0300;null
D;0001234;002;1;null;3200.0;2;null;21.32;2;PETR3;0;2012-04-13 16:05:25.562-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 16:05:25.562-0300;null
D;0001234;003;1;null;3200.0;2;null;21.32;2;PETR3;0;2012-04-13 16:05:29.257-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 16:05:29.258-0300;null
D;0001234;004;1;null;3200.0;2;null;21.32;2;PETR3;0;2012-04-13 16:05:32.777-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 16:05:32.778-0300;null
D;0001234;005;1;null;3200.0;2;null;21.32;2;PETR3;0;2012-04-13 16:05:36.369-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 16:05:36.369-0300;null
D;012345;00001;1;null;1000.0;2;null;25.0;1;PETR4;0;2012-04-13 17:57:38.148-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 17:57:38.149-0300;null
D;ABCDE;00002;1;null;500.0;2;null;34.23;2;VALE5;0;2012-04-13 17:57:38.171-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 17:57:38.171-0300;null
F;ABCDE;00003;1;null;500.0;2;00002;34.23;2;VALE5;0;2012-04-13 17:57:38.171-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 17:57:38.172-0300;null
D;012345;00004;1;null;100.0;2;null;21.34;1;PETR3;0;2012-04-13 17:57:38.172-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 17:57:38.172-0300;null
D;012346;00005;1;null;300.0;2;null;32.12;2;PDGR3;0;2012-04-13 17:57:38.173-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 17:57:38.173-0300;null
G;012347;00006;1;null;500.0;2;00005;32.12;2;PDGR3;0;2012-04-13 17:57:38.174-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 17:57:38.174-0300;null
G;012348;00007;1;null;500.0;2;00006;32.15;2;PDGR3;0;2012-04-13 17:57:38.175-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 17:57:38.175-0300;null
D;012349;00008;1;null;100.0;2;null;12.33;1;RSID3;0;2012-04-13 17:57:38.176-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 17:57:38.176-0300;null
D;012350;00009;1;null;4500.0;2;null;12.4;2;RSID3;0;2012-04-13 17:57:38.176-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 17:57:38.176-0300;null
D;012351;00010;1;null;1100.0;2;null;23.45;1;BBDC4;0;2012-04-13 17:57:38.177-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 17:57:38.178-0300;null
D;012345;00001;1;null;1000.0;2;null;25.0;1;PETR4;0;2012-04-13 18:03:48.760-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.762-0300;null
D;ABCDE;00002;1;null;500.0;2;null;34.23;2;VALE5;0;2012-04-13 18:03:48.764-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.764-0300;null
F;ABCDE;00003;1;null;500.0;2;00002;34.23;2;VALE5;0;2012-04-13 18:03:48.765-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.765-0300;null
D;012345;00004;1;null;100.0;2;null;21.34;1;PETR3;0;2012-04-13 18:03:48.765-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.766-0300;null
D;012346;00005;1;null;300.0;2;null;32.12;2;PDGR3;0;2012-04-13 18:03:48.766-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.767-0300;null
G;012347;00006;1;null;500.0;2;00005;32.12;2;PDGR3;0;2012-04-13 18:03:48.767-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.767-0300;null
G;012348;00007;1;null;500.0;2;00006;32.15;2;PDGR3;0;2012-04-13 18:03:48.768-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.768-0300;null
D;012349;00008;1;null;100.0;2;null;12.33;1;RSID3;0;2012-04-13 18:03:48.768-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.768-0300;null
D;012350;00009;1;null;4500.0;2;null;12.4;2;RSID3;0;2012-04-13 18:03:48.769-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.769-0300;null
D;012351;00010;1;null;1100.0;2;null;23.45;1;BBDC4;0;2012-04-13 18:03:48.769-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.769-0300;null
D;012345;00011;1;null;1000.0;2;null;25.0;1;PETR4;0;2012-04-13 18:03:48.770-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.770-0300;null
D;ABCDE;00012;1;null;500.0;2;null;34.23;2;VALE5;0;2012-04-13 18:03:48.770-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.770-0300;null
D;ABCDE;00013;1;null;500.0;2;null;34.23;2;VALE5;0;2012-04-13 18:03:48.771-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.771-0300;null
D;012345;00014;1;null;100.0;2;null;21.34;1;PETR3;0;2012-04-13 18:03:48.772-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.772-0300;null
D;012346;00015;1;null;300.0;2;null;32.12;2;PDGR3;0;2012-04-13 18:03:48.773-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.773-0300;null
D;012347;00016;1;null;500.0;2;null;32.12;2;PDGR3;0;2012-04-13 18:03:48.773-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.773-0300;null
D;012348;00017;1;null;500.0;2;null;32.15;2;PDGR3;0;2012-04-13 18:03:48.773-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.774-0300;null
D;012349;00018;1;null;100.0;2;null;12.33;1;RSID3;0;2012-04-13 18:03:48.774-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.775-0300;null
D;012350;00019;1;null;4500.0;2;null;12.4;2;RSID3;0;2012-04-13 18:03:48.775-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.775-0300;null
D;012351;00020;1;null;1100.0;2;null;23.45;1;BBDC4;0;2012-04-13 18:03:48.775-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:03:48.776-0300;null
D;012345;00001;1;null;1000.0;2;null;25.0;1;PETR4;0;2012-04-13 18:20:44.314-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.316-0300;null
D;ABCDE;00002;1;null;500.0;2;null;34.23;2;VALE5;0;2012-04-13 18:20:44.319-0300;null;null;null;null;null;null;FIX.4.2;null;null;ALPHA;null;BVMF;null;2012-04-13 18:20:44.319-0300;null
